//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 247008
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima7;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus13;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00247008;1;01/01/1995;1;63,2;386,3;11;23;1;1;0;2821;1;15,7;0;0;2,7;38,1;21,7;0;32,3;7,6;38,9;63,2;5,1;0;15,1;0;4,1;12,9;5,7;2,9;0;15,7;11,3;0;2,6;11,8;5,1;32;3,9;6,9;31;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/02/1995;1;70;595,8;8;23;1;1;0;2821;1;4,6;31,6;5,1;57,4;9,2;0;7,9;70;47,8;43;50,4;31;21,1;6,3;0;4,6;22,8;10,1;20,9;0;15,1;18,7;43,7;44;4,5;0;0;26;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00247008;1;01/03/1995;1;37,7;414,3;24;23;1;1;0;2821;1;1;4,2;26,1;7,2;11,3;0;14;35,7;3,9;12,7;0;0;0;13,9;15,2;0;29,4;0;12,1;30,7;0;28;15,3;37,7;0;12,2;7,1;32,3;34;25,7;4,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/04/1995;1;140,7;473,8;10;28;1;1;0;2821;1;8,6;0;35,8;0,7;7;18,7;7,5;6,5;1,9;140,7;0;6,2;11,3;14,3;0,5;4,5;41,4;26,7;0,2;5,7;12,7;21,1;6,2;6,5;27;1,6;26,9;4,9;15,2;13,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/05/1995;1;80,6;446,2;21;23;1;1;0;2821;1;4,6;4,2;11,9;29,1;34,4;9,7;12,5;25,4;2,6;9,1;0;0;0;0;0;13,7;1,2;11,3;44;0;80,6;11,1;11;0;0,8;0;15,4;8;47,3;39,6;18,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/06/1995;1;54,4;78,5;10;7;1;1;0;2821;1;6;0;0;0;0;0;0;0;0;54,4;0;0;0;1,8;0;0;0;1,5;0;2,9;0;4,8;0;0;0;0;0;7,1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/07/1995;1;13,9;59,9;19;11;1;1;0;2821;1;0;7,8;3,7;3,2;3,4;0;0;0;1,2;11;0;0;0;0;0;1,2;2,8;0;13,9;1,3;0;0;0;0;0;0;10,4;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/08/1995;1;21,6;57,7;15;7;1;1;0;2821;1;0;0;8,8;5,6;0;0;11,7;0;0;0;0;0;0;0;21,6;7,1;1,8;0;0;0;0;0;0;0;0;0;1,1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/09/1995;1;25,5;45,8;17;3;1;1;0;2821;1;0;0;0;0;0;0;0;0;0;0;0;5,9;0;0;0;0;25,5;0;0;0;0;0;0;0;0;14,4;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/10/1995;1;57,8;99,9;20;8;1;1;0;2821;1;0;0;3,8;0;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;3,3;57,8;0;2,6;0;0;0;0;0,9;0;0;5;24,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
